epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,149,,43.78080368041992,,,,,
0,299,,43.88676834106445,,,,,
0,372,,,84.95974731445312,44482536.0,109.20964813232422,0.717362642288208,43.429832458496094
0,372,44.668983459472656,,,,,,
1,449,,43.58695983886719,,,,,
1,599,,43.268287658691406,,,,,
1,745,,,85.2575454711914,42621752.0,110.68852233886719,0.7225438952445984,43.5179443359375
1,745,44.30656051635742,,,,,,
2,749,,43.58415985107422,,,,,
2,899,,43.990901947021484,,,,,
2,1049,,43.61652755737305,,,,,
2,1118,,,85.0361099243164,46544104.0,108.0766830444336,0.7139652371406555,43.473785400390625
2,1118,44.18791198730469,,,,,,
3,1199,,44.08440017700195,,,,,
3,1349,,42.634742736816406,,,,,
3,1491,,,91.10372924804688,41545472.0,117.16127014160156,0.7537713050842285,47.30086898803711
3,1491,42.54682159423828,,,,,,
4,1499,,39.642879486083984,,,,,
4,1649,,36.1690673828125,,,,,
4,1799,,34.193973541259766,,,,,
4,1864,,,95.72261810302734,40581760.0,122.87507629394531,0.7662031054496765,54.408416748046875
4,1864,35.78406524658203,,,,,,
5,1949,,30.78487205505371,,,,,
5,2099,,29.349130630493164,,,,,
5,2237,,,100.28085327148438,34297220.0,130.01641845703125,0.8114819526672363,59.723323822021484
5,2237,30.347373962402344,,,,,,
