epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,149,,44.56785583496094,,,,,
0,299,,45.21202087402344,,,,,
0,372,,,84.88981628417969,43749116.0,109.13114166259766,0.7171627879142761,43.35594177246094
0,372,44.67055892944336,,,,,,
1,449,,44.16594314575195,,,,,
1,599,,43.619876861572266,,,,,
1,745,,,84.9043960571289,44734644.0,108.52147674560547,0.7153372168540955,43.4207878112793
1,745,44.32382583618164,,,,,,
2,749,,44.67241668701172,,,,,
2,899,,44.809261322021484,,,,,
2,1049,,44.230796813964844,,,,,
2,1118,,,85.45928955078125,40375976.0,111.50711822509766,0.7259434461593628,43.6271858215332
2,1118,44.28959274291992,,,,,,
3,1199,,43.923561096191406,,,,,
3,1349,,44.52560043334961,,,,,
3,1491,,,85.69617462158203,41678804.0,111.81299591064453,0.7268803119659424,43.71834945678711
3,1491,44.205909729003906,,,,,,
4,1499,,43.55833435058594,,,,,
4,1649,,44.04167556762695,,,,,
4,1799,,44.687931060791016,,,,,
4,1864,,,85.79366302490234,45288592.0,109.80628204345703,0.7210515737533569,43.8507194519043
4,1864,44.00326156616211,,,,,,
5,1949,,42.48399353027344,,,,,
5,2099,,40.315731048583984,,,,,
5,2237,,,91.88758087158203,43559660.0,118.65107727050781,0.7677485942840576,48.45771789550781
5,2237,40.86431884765625,,,,,,
