epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,149,,44.603294372558594,,,,,
0,299,,44.51011657714844,,,,,
0,372,,,84.9626693725586,45444660.0,108.29081726074219,0.7152079939842224,43.396240234375
0,372,44.71485900878906,,,,,,
1,449,,44.6635856628418,,,,,
1,599,,44.208351135253906,,,,,
1,745,,,85.22966003417969,41779548.0,110.8606948852539,0.7232481241226196,43.50326156616211
1,745,44.35146713256836,,,,,,
2,749,,43.55362319946289,,,,,
2,899,,44.74485778808594,,,,,
2,1049,,44.665504455566406,,,,,
2,1118,,,85.12255096435547,44934560.0,108.78903198242188,0.7169601917266846,43.4680061340332
2,1118,44.30051803588867,,,,,,
3,1199,,43.67158126831055,,,,,
3,1349,,43.9304084777832,,,,,
3,1491,,,85.00782012939453,41961644.0,110.37887573242188,0.7206047177314758,43.46196746826172
3,1491,44.2191276550293,,,,,,
4,1499,,44.41062927246094,,,,,
4,1649,,42.52383804321289,,,,,
4,1799,,39.23234176635742,,,,,
4,1864,,,89.4886245727539,40461352.0,116.95468139648438,0.7506119608879089,46.249053955078125
4,1864,42.024566650390625,,,,,,
5,1949,,35.17576599121094,,,,,
5,2099,,33.03003692626953,,,,,
5,2237,,,98.04857635498047,51188284.0,125.65271759033203,0.7867679595947266,54.202308654785156
5,2237,33.27256393432617,,,,,,
